season,round,race_name,driver,team,grid_position,finish_position,points,status,laps,avg_finish_last5,weighted_finish_form,finish_std_last5,is_dnf,dnf_rate_last5,position_gain,avg_position_gain,team_avg_points_last3,teammate_delta,driver_vs_field,circuit_avg_finish,circuit_avg_gain,driver_points_before_race,team_points_before_race,driver_rank_before_race,prev_team,team_changed
2024,20,Mexico City Grand Prix,HUL,Haas F1 Team,10.0,9.0,2.0,Lapped,70.0,11.2,10.390332733462012,3.492849839314594,0,0.0,1.0,-1.0,2.0,-1.2,0.6599999999999995,13.0,-1.0,32.0,72.0,16.0,Haas F1 Team,0
2024,21,São Paulo Grand Prix,HUL,Haas F1 Team,18.0,21.0,0.0,Disqualified,0.0,10.8,9.926888480695595,3.633180424916988,1,0.0,-3.0,-1.0,2.6666666666666665,-0.3,0.1999999999999993,12.0,-1.0,34.0,74.0,16.0,Haas F1 Team,0
2024,22,Las Vegas Grand Prix,HUL,Haas F1 Team,9.0,8.0,4.0,Finished,50.0,11.6,13.617925697755451,5.366563145999494,0,0.2,1.0,-0.2,2.0,-0.1,0.8599999999999994,19.0,-6.0,34.0,74.0,17.0,Haas F1 Team,0
2024,23,Qatar Grand Prix,HUL,Haas F1 Team,18.0,21.0,0.0,Retired,39.0,11.0,11.745283783635488,5.61248608016091,1,0.2,-3.0,-0.2,2.0,-0.6,0.2399999999999995,16.0,-2.0,38.0,78.0,16.0,Haas F1 Team,0
2024,24,Abu Dhabi Grand Prix,HUL,Haas F1 Team,7.0,8.0,4.0,Finished,58.0,13.4,14.830189205419066,6.949820141557621,0,0.4,-1.0,-0.2,1.3333333333333333,1.6,2.4999999999999996,15.0,-7.0,38.0,78.0,15.0,Haas F1 Team,0
2025,1,Australian Grand Prix,HUL,Kick Sauber,17.0,7.0,6.0,Finished,57.0,13.4,12.55345946224539,6.949820141557621,0,0.4,10.0,-1.0,0.0,1.1,2.4499999999999997,8.0,5.0,42.0,19.0,13.0,Haas F1 Team,1
2025,2,Chinese Grand Prix,HUL,Kick Sauber,12.0,15.0,0.0,Lapped,55.0,13.0,10.70230630380877,7.314369419163896,0,0.4,-3.0,0.8,2.0,-0.5,1.8999999999999997,10.0,-1.0,48.0,25.0,14.0,Kick Sauber,0
2025,3,Japanese Grand Prix,HUL,Kick Sauber,16.0,16.0,0.0,Finished,53.0,11.8,12.134870871452579,6.058052492344383,0,0.2,0.0,0.8,2.0,-1.3,0.7499999999999997,12.5,2.5,48.0,25.0,14.0,Kick Sauber,0
2025,4,Bahrain Grand Prix,HUL,Kick Sauber,16.0,21.0,0.0,Disqualified,0.0,13.4,13.423247248982117,5.856620185738527,1,0.2,-5.0,0.6,2.0,-1.2,2.38,16.0,-3.6666666666666665,48.0,25.0,14.0,Kick Sauber,0
2025,5,Saudi Arabian Grand Prix,HUL,Kick Sauber,18.0,15.0,0.0,Lapped,49.0,13.4,15.94883150108183,5.856620185738527,0,0.2,3.0,0.2,0.0,-2.1,2.4999999999999996,11.333333333333334,2.6666666666666665,48.0,25.0,14.0,Kick Sauber,0
2025,6,Miami Grand Prix,HUL,Kick Sauber,16.0,14.0,0.0,Lapped,56.0,14.8,15.632554333907583,5.019960159204452,0,0.2,2.0,1.0,0.0,-1.6,3.9299999999999997,13.0,-2.5,48.0,25.0,14.0,Kick Sauber,0
2025,7,Emilia Romagna Grand Prix,HUL,Kick Sauber,17.0,12.0,0.0,Finished,63.0,16.2,15.088369555769804,2.7748873851023177,0,0.2,5.0,-0.6,0.0,-0.9,5.4399999999999995,11.0,-1.0,48.0,25.0,14.0,Kick Sauber,0
2025,8,Monaco Grand Prix,HUL,Kick Sauber,13.0,16.0,0.0,Lapped,76.0,15.6,14.058913036967258,3.361547262794319,0,0.2,-3.0,1.0,0.0,-1.6,4.909999999999999,19.0,-0.5,48.0,25.0,14.0,Kick Sauber,0
2025,9,Spanish Grand Prix,HUL,Kick Sauber,15.0,5.0,10.0,Finished,66.0,15.6,14.705942024733927,3.361547262794319,0,0.2,10.0,0.4,0.0,-1.1,4.88,13.0,-3.0,48.0,25.0,13.0,Kick Sauber,0
2025,10,Canadian Grand Prix,HUL,Kick Sauber,11.0,8.0,4.0,Finished,70.0,12.4,11.470628016192315,4.393176527297757,0,0.0,3.0,3.4,3.3333333333333335,-2.1,1.778421052631579,13.0,-2.0,58.0,35.0,14.0,Kick Sauber,0
2025,11,Austrian Grand Prix,HUL,Kick Sauber,20.0,9.0,2.0,Lapped,69.0,11.0,10.313752010724084,4.472135954999577,0,0.0,11.0,3.4,4.666666666666667,-2.4,0.3784210526315789,13.5,-5.0,62.0,39.0,13.0,Kick Sauber,0
2025,12,British Grand Prix,HUL,Kick Sauber,19.0,3.0,15.0,Finished,52.0,10.0,9.875834673798192,4.183300132670375,0,0.0,16.0,5.2,5.333333333333333,-1.6,-0.6215789473684211,9.5,-1.0,64.0,41.0,13.0,Kick Sauber,0
2025,13,Belgian Grand Prix,HUL,Kick Sauber,14.0,12.0,0.0,Finished,44.0,8.2,7.583889782469794,4.969909455915669,0,0.0,2.0,7.4,7.0,-2.8,-2.541578947368421,18.0,0.0,79.0,56.0,13.0,Kick Sauber,0
2025,14,Hungarian Grand Prix,HUL,Kick Sauber,18.0,13.0,0.0,Lapped,69.0,7.4,9.05592652167322,3.507135583350033,0,0.0,5.0,8.4,5.666666666666667,-2.7,-3.311578947368421,13.5,-3.0,79.0,56.0,13.0,Kick Sauber,0
2025,15,Dutch Grand Prix,HUL,Kick Sauber,17.0,14.0,0.0,Finished,72.0,9.0,10.370617681131373,3.937003937005903,0,0.0,3.0,7.4,5.0,-1.3,-1.7900000000000003,11.5,1.5,79.0,56.0,13.0,Kick Sauber,0
2025,16,Italian Grand Prix,HUL,Kick Sauber,12.0,21.0,0.0,Did not start,0.0,10.2,11.580411787430663,4.438468204234427,1,0.0,-9.0,7.4,0.0,-0.8,-0.5900000000000002,17.0,-5.5,79.0,56.0,13.0,Kick Sauber,0
2025,17,Azerbaijan Grand Prix,HUL,Kick Sauber,17.0,16.0,0.0,Finished,51.0,12.6,14.720274524970645,6.42650760522385,0,0.2,1.0,3.4,0.0,0.4,1.8799999999999997,14.0,2.0,79.0,56.0,13.0,Kick Sauber,0
2025,18,Singapore Grand Prix,HUL,Kick Sauber,11.0,20.0,0.0,Lapped,61.0,15.2,15.14684968331529,3.56370593624109,0,0.2,-9.0,0.4,0.0,2.7,4.619999999999999,11.0,-3.5,79.0,56.0,13.0,Kick Sauber,0
2025,19,United States Grand Prix,HUL,Kick Sauber,11.0,8.0,4.0,Finished,56.0,16.8,16.76456645554739,3.56370593624109,0,0.2,3.0,-1.8,0.0,2.7,6.22,9.5,5.0,79.0,56.0,14.0,Kick Sauber,0
2025,20,Mexico City Grand Prix,HUL,Kick Sauber,13.0,21.0,0.0,Retired,25.0,15.8,13.843044303693608,5.215361924162118,1,0.2,-8.0,-2.2,1.3333333333333333,1.0,5.22,11.0,0.0,83.0,60.0,14.0,Kick Sauber,0
2025,21,São Paulo Grand Prix,HUL,Kick Sauber,10.0,9.0,2.0,Finished,71.0,17.2,16.22869620246494,5.540758070878026,0,0.4,1.0,-4.4,1.3333333333333333,2.2,6.590000000000001,16.5,-2.0,83.0,60.0,14.0,Kick Sauber,0
2025,22,Las Vegas Grand Prix,HUL,Kick Sauber,11.0,7.0,6.0,Finished,50.0,14.8,13.819130801641588,6.058052492344383,0,0.2,4.0,-2.4,2.0,-0.3,4.159999999999999,13.5,-2.5,85.0,62.0,14.0,Kick Sauber,0
2025,23,Qatar Grand Prix,HUL,Kick Sauber,11.0,21.0,0.0,Retired,6.0,13.0,11.54608720109332,6.89202437604511,1,0.2,-10.0,-1.8,2.6666666666666665,-2.2,2.2199999999999998,18.5,-2.5,91.0,68.0,14.0,Kick Sauber,0
